TimeFromStart (s),AccelX (m/s^2),AccelY (m/s^2),AccelZ (m/s^2),GNSSVelxX (m/s),GNSSVelxY (m/s),GNSSVelxZ (m/s)
49.27,0.0065134831,0.1535978052,-9.8256081343,,,
49.28,-0.1163793611,0.1524602878,-9.7294434905,,,
49.29,-0.1772884163,0.1816529664,-9.833201021,,,
49.3,-0.13646202859999998,0.0883260684,-9.9136985838,,,
49.31,-0.0552298443,0.1728281262,-9.850358218,,,
49.32,-0.046977584100000004,0.2063691383,-9.689104557,,,
49.33,-0.1836154494,0.12017859840000002,-9.818708151600001,,,
49.34,-0.1818632591,0.1474119606,-9.9635817111,,,
49.35,-0.0368295208,0.1662371564,-9.8603278399,,,
49.36,-0.037892904899999996,0.10839084859999999,-9.7455628216,,,
49.37,-0.11645498450000001,0.2272860846,-9.8030932248,,,
49.38,-0.14663728650000002,0.12450477809999999,-9.913341701,,,
49.39,-0.155632,0.1046426478,-9.8663203418,,,
49.4,-0.0669522153,0.2047071001,-9.6940554678,,,
49.41,-0.13277510879999999,0.17127747410000002,-9.730065613999999,,,
49.42,-0.1537358272,0.1388855162,-9.955786913599999,,,
49.43,-0.051234843,0.1859202865,-9.9448293447,,,
49.44,-0.0198757261,0.10847336380000001,-9.7567327321,,,
49.45,-0.11848042489999999,0.18710008590000002,-9.6399843693,,,
49.46,-0.1964268973,0.1687193173,-9.851924330000001,,,
49.47,-0.1840887475,0.09604636,-9.984094649600001,,,
49.48,-0.026283224,0.23903807159999998,-9.791237860899999,,,
49.49,-0.0188881517,0.1473553362,-9.6401810646,,,
49.5,-0.1738820109,0.1249667141,-9.8569519818,,,
49.51,-0.1584855723,0.1930067199,-9.9860489368,,,
49.52,-0.0724371464,0.1181956264,-9.8276607692,,,
49.53,-0.0497149245,0.14466623539999998,-9.651892632200001,,,
49.54,-0.11433194159999999,0.2287024399,-9.7908243537,,,
49.55,-0.1616272959,0.0827679352,-10.0263163447,,,
49.56,-0.1225514221,0.1864667865,-9.889651089900001,,,
49.57,-0.0306719885,0.16926209209999998,-9.6535868943,,,
49.58,-0.1409433666,0.13171545,-9.726545959700001,,,
49.59,-0.1512786257,0.1952815684,-9.9831573665,,,
49.6,-0.0755265297,0.1273909467,-9.972425550199999,,,
49.61,-0.0355510012,0.12820678530000001,-9.766159206600001,,,
49.62,-0.09057837889999999,0.2156123286,-9.628588706299999,,,
49.63,-0.2012735,0.0880844833,-9.8965272307,,,
49.64,-0.1906853053,0.14317239399999998,-10.0122198462,,,
49.65,-0.023074446699999997,0.2464171266,-9.7621738911,,,
49.66,-0.0657929049,0.09572971029999999,-9.6290707588,,,
49.67,-0.1742360997,0.1825615647,-9.844121336899999,,,
49.68,-0.1400356996,0.1552386093,-9.995440393700001,,,
49.69,-0.0809011923,0.111090194,-9.870094806,,,
49.7,-0.0322807551,0.1991858473,-9.6259459853,,,
49.71,-0.1365585136,0.1618701848,-9.7608476877,,,
49.72,-0.17912945479999998,0.0972296984,-9.9895976484,,,
49.73,-0.1007573563,0.2154243877,-9.838290512599999,,,
49.74,-0.05549005580000001,0.1277733478,-9.66392681,,,
49.75,-0.1444043475,0.1909950632,-9.7606100142,,,
49.76,-0.1134687918,0.19360481529999998,-9.9415481091,,,
49.77,-0.0850832032,0.06748660819999999,-9.9600449204,,,
49.78,-0.0284709007,0.20393596500000002,-9.7580417991,,,
49.79,-0.1150939497,0.1991033321,-9.6551775932,,,
49.8,-0.20282750480000003,0.060362363,-9.880053997000001,,,
49.81,-0.1211652416,0.18584447680000002,-9.9376633763,,,
49.82,-0.025156696200000002,0.1990934601,-9.8284035921,,,
49.83,-0.11600943979999999,0.1417269814,-9.751431644,,,
49.84,-0.1626549172,0.20796710159999998,-9.811387211100001,,,
49.85,-0.1198954764,0.0627128349,-9.9275350571,,,
49.86,-0.053810322400000006,0.1648850623,-9.863965958400001,,,
49.87,-0.042528283699999996,0.22418999579999999,-9.693986177400001,,,
49.88,-0.173520844,0.0791964994,-9.8207615316,,,
49.89,-0.1571569475,0.1568067702,-9.9122226238,,,
49.9,-0.0724356563,0.167974073,-9.833042323599999,,,
49.91,-0.1121843117,0.1282840851,-9.7481690347,,,
49.92,-0.1468213159,0.2422900638,-9.7699396312,,,
49.93,-0.09159556940000001,0.098200317,-9.885296970599999,,,
49.94,-0.0565105991,0.099657278,-9.9154576659,,,
49.95,-0.0381825463,0.24207213430000002,-9.7488321364,0.0032812365953366614,-0.009974747640423422,-0.011536166022272564
49.96,-0.1832106966,0.1234130817,-9.7566731274,,,
49.97,-0.20181906879999997,0.1259444165,-9.8746858537,,,
49.98,-0.0655837299,0.1864105347,-9.852774441200001,,,
49.99,-0.0478405476,0.1362848911,-9.8045356572,,,
50.0,-0.115928601,0.22275520019999998,-9.7667843103,,,
50.01,-0.1583643141,0.1423561829,-9.842473268500001,,,
50.02,-0.11843087849999999,0.0926885696,-9.9296875298,,,
50.03,-0.0303065375,0.2184759593,-9.799413383,,,
50.04,-0.087898405,0.1703763264,-9.734497219300001,,,
50.05,-0.1820891979,0.1189771923,-9.8859317601,,,
50.06,-0.1197600621,0.1915804925,-9.8705433309,,,
50.07,-0.0790333317,0.104651216,-9.780625253899998,,,
50.08,-0.11750216359999999,0.1911423984,-9.708411246499999,,,
50.09,-0.13065467360000002,0.2104103332,-9.8568730056,,,
50.1,-0.1197047415,0.0841749774,-10.0019775331,,,
50.11,-0.0173093737,0.1877056318,-9.8405621946,,,
50.12,-0.0390760571,0.1688208315,-9.6332840621,,,
50.13,-0.21624581420000002,0.111366238,-9.8145090044,,,
50.14,-0.1882357406,0.1937566209,-9.936478734,,,
50.15,-0.07446109669999999,0.1487286645,-9.8547384143,,,
50.16,-0.041851398399999996,0.140300754,-9.730014950000001,,,
50.17,-0.0948395522,0.23743712809999998,-9.761852026,,,
50.18,-0.17013921170000001,0.0861003937,-9.9575400352,,,
50.19,-0.10855438889999999,0.15112290860000002,-9.912701696200001,,,
50.2,-0.0170720727,0.1818193006,-9.688192606,,,
50.21,-0.119278382,0.1164946589,-9.7165249288,,,
50.22,-0.16925929809999998,0.1746632042,-9.950672090100001,,,
50.23,-0.1358693349,0.14932173070000002,-9.9306866527,,,
50.24,-0.088244112,0.10896361199999999,-9.753888845399999,,,
50.25,-0.0852582918,0.22770890500000002,-9.616354852899999,,,
50.26,-0.15332530020000001,0.13334489189999998,-9.8870873451,,,
50.27,-0.14999954729999998,0.1355152461,-10.058663785499999,,,
50.28,-0.0048443671,0.2091854578,-9.818592667599999,,,
50.29,-0.0453678862,0.10177231160000001,-9.6179768443,,,
50.3,-0.19931064450000002,0.17163417069999998,-9.8196290433,,,
50.31,-0.1839175704,0.1528516295,-9.9872760475,,,
50.32,-0.1016475144,0.13171563619999999,-9.869593381900001,,,
50.33,-0.0206684679,0.19931716379999997,-9.627046436099999,,,
50.34,-0.097679894,0.161984365,-9.7227945924,,,
50.35,-0.1845333609,0.10718255069999999,-10.036535561100001,,,
50.36,-0.0730182917,0.2042680746,-9.937950968700001,,,
50.37,-0.0190088511,0.11952257479999999,-9.673207253200001,,,
50.38,-0.1168550807,0.1691771555,-9.7016826272,,,
50.39,-0.1519981655,0.171721715,-9.9319629371,,,
50.4,-0.1656943816,0.10371914830000001,-9.9575072527,,,
50.41,-0.0706676336,0.18731596650000001,-9.7471050918,,,
50.42,-0.0655962096,0.20019316580000002,-9.6133746207,,,
50.43,-0.1726463321,0.12722926910000001,-9.9150374532,,,
50.44,-0.1315783593,0.1832026872,-10.0491009653,,,
50.45,-0.033890080499999996,0.1647204044,-9.8385237157,,,
50.46,-0.0753458531,0.1485077548,-9.629355370999999,,,
50.47,-0.15964916669999998,0.1880101743,-9.7448021173,,,
50.48,-0.1831153291,0.082415709,-9.9775232375,,,
50.49,-0.0977536547,0.1995762577,-9.9161997437,,,
50.5,-0.021144001200000002,0.20607074260000002,-9.6549041569,,,
50.51,-0.1531045767,0.1135658356,-9.7444064915,,,
50.52,-0.1776361722,0.1563172671,-9.9825263023,,,
50.53,-0.05687567749999999,0.16181803079999998,-9.9075376987,,,
50.54,-0.0314988167,0.1192662749,-9.697839617700001,,,
50.55,-0.1098213601,0.21820457189999998,-9.6752330661,,,
50.56,-0.16232467020000002,0.1008646446,-9.919609129400001,,,
50.57,-0.17346831740000002,0.12707001299999998,-9.944088757,,,
50.58,-0.0495416985,0.21405646109999998,-9.748324006799999,,,
50.59,-0.0916624384,0.1348957303,-9.6811942756,,,
50.6,-0.1431662473,0.1732498291,-9.870877862,,,
50.61,-0.07751937369999999,0.1309692743,-9.94162485,,,
50.62,-0.0525483803,0.11272876289999999,-9.862324595499999,,,
50.63,-0.0997388619,0.2281926339,-9.6924655139,,,
50.64,-0.1784497756,0.1408621552,-9.7885273397,,,
50.65,-0.1769285533,0.0686127634,-9.9535487592,,,
50.66,-0.024189426,0.23863462270000002,-9.8666071892,,,
50.67,-0.0267732859,0.13955457829999998,-9.7046874464,,,
50.68,-0.1806620392,0.1526985201,-9.7730591893,,,
50.69,-0.1515542972,0.1465072739,-9.9176891148,,,
50.7,-0.0893704535,0.10561718369999999,-9.9160626531,,,
50.71,-0.031311062,0.19678638780000002,-9.7500391304,,,
50.72,-0.10842046470000001,0.18579995959999998,-9.725150466,,,
50.73,-0.1748775947,0.0765955017,-9.9368549883,,,
50.74,-0.1281279954,0.1929301652,-9.897916019,,,
50.75,-0.0552967133,0.1569352928,-9.7262613475,,,
50.76,-0.1407833654,0.1583779114,-9.7172178328,,,
50.77,-0.14015286,0.22015047729999998,-9.9197074771,,,
50.78,-0.1077230903,0.0875044556,-9.9911004305,,,
50.79,-0.044455003800000004,0.1640330884,-9.8021373153,,,
50.8,-0.055156828600000006,0.2087574219,-9.633348137099999,,,
50.81,-0.1932306099,0.1055238652,-9.8610319197,,,
50.82,-0.1788992318,0.1651620376,-9.9873639643,,,
50.83,-0.0385683001,0.2050742274,-9.7981534898,,,
50.84,-0.0513942854,0.11000576199999999,-9.6708953381,,,
50.85,-0.1556970063,0.2286068862,-9.7954943776,,,
50.86,-0.15285908010000002,0.1123666647,-10.0100524724,,,
50.87,-0.0805702002,0.1281928155,-9.890189766899999,,,
50.88,0.034010221099999995,0.2109814202,-9.617112577,,,
50.89,-0.1205503824,0.11912974300000001,-9.7366914153,,,
50.9,-0.2191439038,0.15047023769999998,-10.0258253515,,,
50.91,-0.15131178080000002,0.20274554839999998,-9.8913557827,,,
50.92,-0.0773224921,0.0891126634,-9.6882328391,,,
50.93,-0.10060517819999999,0.2118279925,-9.6614174545,,,
50.94,-0.111780304,0.1768188435,-9.9278524518,,,
50.95,-0.1256309333,0.0630419643,-10.0400857627,0.006423266134675087,-0.012844988125027414,-0.023872775277114885
50.96,-0.0396436051,0.2199386945,-9.7519226372,,,
50.97,-0.07165073770000001,0.1317834365,-9.5821358263,,,
50.98,-0.2292519202,0.1196471858,-9.887937456400001,,,
50.99,-0.1679243403,0.2041013679,-10.029961913800001,,,
51.0,-0.041931864699999995,0.1438483479,-9.8324872553,,,
51.01,-0.0137519077,0.1476529869,-9.616965800500001,,,
51.02,-0.11864564150000001,0.20323505160000002,-9.7453840077,,,
51.03,-0.20343323700000002,0.078658195,-10.068654269000001,,,
51.04,-0.1121053356,0.2071220195,-9.9371291697,,,
51.05,0.013328900999999999,0.16651841579999999,-9.6244357526,,,
51.06,-0.1211283612,0.11104940199999999,-9.7295589745,,,
51.07,-0.1502992469,0.1980343601,-9.971509128800001,,,
51.08,-0.13565699339999998,0.1339405659,-9.908097982400001,,,
51.09,-0.0928766967,0.1329589519,-9.712049365,,,
51.1,-0.0971926318,0.24331265589999998,-9.635241329700001,,,
51.11,-0.1539038378,0.1272801193,-9.9339902401,,,
51.12,-0.1329325023,0.1283973339,-10.0430801511,,,
51.13,-0.006598419699999999,0.21346730649999998,-9.7751140594,,,
51.14,-0.0729262771,0.11100022820000001,-9.6386827528,,,
51.15,-0.1823387924,0.17738285239999999,-9.7927965224,,,
51.16,-0.16140619990000002,0.1375624794,-9.9427953362,,,
51.17,-0.0920602994,0.1452604192,-9.9088139832,,,
51.18,-0.0204976634,0.23552065249999998,-9.684097021800001,,,
51.19,-0.1456640544,0.1437060419,-9.7464308143,,,
51.2,-0.1659905422,0.0933540927,-9.9909178913,,,
51.21,-0.0504463853,0.2095263219,-9.8910525441,,,
51.22,-0.0269526587,0.1283243182,-9.7059451044,,,
51.23,-0.1545021194,0.1650087419,-9.7376286983,,,
51.24,-0.1530319336,0.1587103936,-9.8932571709,,,
51.25,-0.1401701826,0.0863909663,-9.9485881627,,,
51.26,-0.058116758000000004,0.2127658343,-9.7682036459,,,
51.27,-0.10724476310000002,0.1810017857,-9.6648037434,,,
51.28,-0.1544289174,0.10252016359999999,-9.909969568300001,,,
51.29,-0.0869233103,0.17613730160000002,-9.947702288599999,,,
51.3,-0.0393480033,0.1364599797,-9.8022855818,,,
51.31,-0.1264015096,0.1613754663,-9.7202382982,,,
51.32,-0.1805763575,0.1934055123,-9.8010011017,,,
51.33,-0.1499850187,0.0663302781,-9.9205359817,,,
51.34,-0.0604232715,0.2002905821,-9.8540820181,,,
51.35,-0.045911033500000004,0.2082969761,-9.6928007901,,,
51.36,-0.1775909099,0.1153368386,-9.8220042884,,,
51.37,-0.12094209669999999,0.16177910150000002,-9.9231131375,,,
51.38,-0.0227890894,0.1440698165,-9.8532244563,,,
51.39,-0.06045959309999999,0.16100051580000002,-9.7683340311,,,
51.4,-0.16073937300000002,0.21019408009999999,-9.779433161,,,
51.41,-0.1668969053,0.0891916396,-9.8766118288,,,
51.42,-0.11650602099999999,0.1462006825,-9.8787531257,,,
51.43,-0.0329479546,0.2154230839,-9.714380651699999,,,
51.44,-0.13054477750000001,0.1426806557,-9.771341830499999,,,
51.45,-0.1461062464,0.1732421922,-9.9366568029,,,
51.46,-0.0588849129,0.1485327142,-9.9102020264,,,
51.47,-0.0706611143,0.1274062204,-9.779364615699999,,,
51.48,-0.1277843374,0.21506974010000002,-9.6956863999,,,
51.49,-0.1706808689,0.1245297375,-9.8528787494,,,
51.5,-0.1338370028,0.1214673626,-9.9431008101,,,
51.51,-0.025547665400000003,0.2117268508,-9.7658731043,,,
51.52,-0.1056900132,0.14221201420000001,-9.7038961947,,,
51.53,-0.2025864786,0.1614916953,-9.8978146911,,,
51.54,-0.10333935500000001,0.167682569,-9.937950968700001,,,
51.55,-0.032391955,0.1024970668,-9.8019815981,,,
51.56,-0.0382691593,0.18947160570000002,-9.6752263606,,,
51.57,-0.1516671735,0.1577960211,-9.835889935500001,,,
51.58,-0.2005424118,0.10181608380000001,-9.963838756100001,,,
51.59,-0.0846378447,0.1922467607,-9.8313584924,,,
51.6,-0.0576380582,0.1411681878,-9.6702255309,,,
51.61,-0.1427082228,0.1746842521,-9.8129466176,,,
51.62,-0.11886468859999999,0.1761864754,-9.9563166499,,,
51.63,-0.0672031136,0.0903382839,-9.9022775888,,,
51.64,-0.0560762302,0.1786773908,-9.7134679556,,,
51.65,-0.1339549082,0.19975358150000003,-9.713391214600001,,,
51.66,-0.19386595809999999,0.0799022557,-9.9462397397,,,
51.67,-0.0962162332,0.20274200939999998,-9.939930588,,,
51.68,-0.0154178575,0.1619294169,-9.7170561552,,,
51.69,-0.1282967511,0.1309167477,-9.6936553717,,,
51.7,-0.1802557963,0.1904800418,-9.8990514874,,,
51.71,-0.1244649175,0.11098067040000001,-9.9652886391,,,
51.72,-0.0451065571,0.16272234500000002,-9.7982592881,,,
51.73,-0.039475222,0.1986309653,-9.6570782363,,,
51.74,-0.1656720298,0.0999435666,-9.8781980574,,,
51.75,-0.18011237260000001,0.1676047104,-9.9549874663,,,
51.76,-0.0582488196,0.1689799014,-9.7814537585,,,
51.77,-0.1066695782,0.1251190784,-9.662847966000001,,,
51.78,-0.14332792490000001,0.23068615699999998,-9.8194047809,,,
51.79,-0.1093311119,0.11274534039999999,-9.9740378559,,,
51.8,-0.0566566305,0.132434431,-9.9007084966,,,
51.81,-0.0278025836,0.2182995668,-9.691695869,,,
51.82,-0.1596700284,0.1363474759,-9.7442738712,,,
51.83,-0.1980455359,0.1282632235,-9.9299013615,,,
51.84,-0.07882192149999999,0.20259616430000002,-9.8830848932,,,
51.85,-0.06191692659999999,0.1297987881,-9.7484484315,,,
51.86,-0.1493885997,0.21014732770000003,-9.7376838326,,,
51.87,-0.1213762793,0.1322258147,-9.893990308,,,
51.88,-0.0836914347,0.0955767871,-9.9366120994,,,
51.89,-0.0100452446,0.22916493470000002,-9.780548512900001,,,
51.9,-0.1253073919,0.1550339046,-9.7151786089,,,
51.91,-0.20885688719999998,0.1135393861,-9.889316558800001,,,
51.92,-0.1335168141,0.1879513147,-9.8876908422,,,
51.93,-0.0598376559,0.12793930950000001,-9.7981922328,,,
51.94,-0.1157542574,0.1818418386,-9.7362443805,,,
51.95,-0.1110914978,0.199095509,-9.8238572478,-0.0029444000747303784,0.009624895448751067,0.011904335811988102
51.96,-0.10398718300000001,0.0441454322,-9.939930588,,,
51.97,-0.0505357923,0.1951070386,-9.8700344563,,,
51.98,-0.0858496816,0.1932864892,-9.7270779312,,,
51.99,-0.19872018600000002,0.1040691393,-9.8104633391,,,
52.0,-0.1189827803,0.17871706510000002,-9.8763816059,,,
52.01,-0.0403745071,0.1333644497,-9.8444104195,,,
